STATE,ELECTORAL VOTE,POPULAR VOTE,TOTAL POPULAR VOTE
Bush (R),Clinton (D),Bush (R),Clinton (D),Perot
AL,9,,804283,690080,183109,1688060
AK,3,,102000,78294,73481,258506
AZ,8,,572086,543050,.353741,1486975
AR,,6,337324,505823,99132,950653
CA,,54,3630574,5121325,2296006,11131721
co,,8,562850,629681,366010,1569180
CT,,8,578313,682318,348',771.,1616332
DE,,3,102313,126055,59213,289735
DC,,3,20698,192619,9681,227572
FL,25,,2173310,2,'072',798,1053067,5,314492
GA,,13,995252,1008966,309657,2321125
HI,,4,136822,179310,53003,372842
ID,4,,202645,137013,130395,482142
IL,,22,1734096,2453350,840515,5050157
IN,12,,989375,848420,455934,2305871
IA,,7,504891,586353,253468,1354607
KS,6,,449951,390434,312358,1157236
KY,,8,617178,665104,203944,1492900
LA,,9,733386,815971,211478,1790017
ME,,4,206504,263420,206820,679499
MD,,10,707094,988571,281414,1985046
MA,,12,805039,1318639,630731,2',773',664
MI,,18,1554940,1871182,824813,4274673
MN,,10,747841,1020997,562506,2347947
MS,7,,487793,400258,85626,981793
MO,,11,811159,1053873,518741,2391565
MT,,3,144207,154507,107225,410611
NE,5,,344346,217344,174687,739283
NV,,4,175828,189148,132580,506318
NH,,4,202484,209040,121337,537945
NJ,,15,1356865,1436206,521829,3343594
NM,,5,212824,261617,91895,569986
NY,,33,2346649,3444450,1090721,6926933
NC,14,,1134661,1,114042,357864,2',611',850
ND,3,,136244,99168,71084,308133
OH,,21,1894310,1984942,1036426,4939964
OK,8,,592929,473066,319878,1390359
OR,,7,475757,621314,354091,1462643
PA,,23,1791841,2239164,902667,4959810
RI,,4,131605,213302,105;051,453478
sc,8,,577507,479514,138872,1202527
SD,3,,136718,124888,73295,336254
TN,,11,841300,933521,199968,1982638
TX,32,,2496071,2281815,1354781,6154018
UT,5,,322632,183429,203400,743999
VT,,3,88122,133592,65991,289701
VA,13,,1150517,1038650,348639,2558665
WA,,11,731235,993039,541801,2288228
wv,,5,241974,331001,108829,683',711
WI,,11,930855,1041066,544479,2531114
WY,3,,79347,68160,51263,200587
Total:,168,370,39104545,44909889,19742267,104426659
