STATE,ELECTORAL VOTE,POPULAR VOTE,TOTAL POPULAR VOTE
,Clinton (D),Dole (R),Clinton (D),Dole (R),Perot,
AL,,9,662165,769044,92149,1534349
AK,,3,80380,122746,26333,241620
AZ,8,,653288,622073,112072,1404405
AR,6,,475171,325416,69884,884262
CA,54,,5119835,3828380,697847,10019484
CO,,8,671152,691848,99629,1510704
CT,8,,735740,483109,139523,1392614
DE,3,,140355,99062,28719,270845
DC,3,,158220,17339,3611,185726
FL,25,,2546870,2244536,483870,5303794
GA,,13,1053849,1080843,146337,2299071
HI,4,,205012,113943,27358,360120
ID,,4,165443,256595,62518,491719
IL,22,,2341744,1587021,346408,4311391
IN,,12,887424,1006693,224299,2135842
IA,7,,620258,492644,105159,1234075
KS,,6,387659,583245,92639,1074300
KY,8,,636614,623283,120396,1388708
LA,9,,927837,712586,123293,1783959
ME,4,,312788,186378,85970,605897
MD,10,,966207,681530,115812,1780870
MA,12,,1571763,718107,227217,2556786
MI,18,,1989653,1481212,336670,3848844
MN,10,,1120438,766476,257704,2192640
MS,,7,394022,439838,52222,893857
MO,11,,1025935,890016,217188,2158065
MT,,3,167922,179652,55229,407261
NE,,5,236761,363467,71278,677415
NV,4,,203974,199244,43986,464279
NH,4,,246214,196532,48390,499175
NJ,15,,1652329,1103078,262134,3075807
NM,5,,273495,232751,32257,556074
NY,33,,3756177,1933492,503458,6316129
NC,,14,1107849,1225938,168059,2515807
ND,,3,106905,125050,32515,266411
OH,21,,2148222,1859883,483207,4534434
OK,,8,488105,582315,130788,1206713
OR,7,,649641,538152,121221,1377760
PA,23,,2215819,1801169,430984,4506118
RI,4,,233050,104683,43723,390284
SC,,8,506283,573458,64386,1151689
SD,,3,139333,150543,31250,323826
TN,11,,909146,863530,105918,1894105
TX,,32,2459683,2736167,378537,5611644
UT,,5,221633,361911,66461,665629
VT,3,,137894,80352,31024,258449
VA,,13,1091060,1138350,159861,2416642
WA,11,,1123323,840712,201003,2253837
WV,5,,327812,233946,71639,636459
WI,11,,1071971,845029,227339,2196169
WY,,3,77934,105388,25928,211571
Total:,379,159,47402357,39198755,8085402,96277634
,49.24%,40.71%,8.40%,
